OrigProj,Amount,projecttitle,Forum,Sponsor,AwardYear,Color,subforum,Improvement Type,ProjNo
M9918(xxx),40000,On Board Data and Communication Units,FHWA Countywide,Kitsap Transit,1992,STP(U),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",M9918(XXX)
M9927(025),548101,Marine View Drive (E 11th Street to Taylor Way),FHWA Countywide,Tacoma,1992,STP(U),Pierce Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,M9927(025)
M9999(127),24000,King Consortium/STP Programming--1994 TIP (17KGCO-01),FHWA Countywide,King County Department of Transportation (Road Services),1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(127)
M9999(129),160000,Seattle Ridesharing--1993: General Ridesharing Activities for Seattle's Cy 1993 Program,FHWA Countywide,Seattle,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(129)
M9999(130),20000,"Parking Policy Review (Of City Policies, as Required by State Commute Trip Reduction Law)",FHWA Countywide,Issaquah,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(130)
M9999(131),20000,"Parking Policy Review (Of City Polices, as Required by State Commute Trip Reduction Law)",FHWA Countywide,Kent,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(131)
M9999(134),20000,"Parking Policy Review (Of City Policies, as Required by State Commute Trip Reduction Law)",FHWA Countywide,SeaTac,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(134)
M9999(135),20000,"Parking Policy Review (Of City Policies, as Required by State Commute Trip Reduction Law)",FHWA Countywide,Tukwila,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(135)
M9999(142),20000,Parking Policy Review (Of City Policies as Required by State Commute Reduction Law),FHWA Countywide,Federal Way,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(142)
M9999(xxx).,20000,Downtown Bellevue Parking Policy Implementation,FHWA Countywide,Bellevue,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(XXX).
M9999(xxx)a,20000,"Parking Policy Review (Of City Policies, as Required by State Commute Trip Reduction Law)",FHWA Countywide,Des Moines,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(XXX)a
M9999(xxx)e,89000,Traffic/Transportation Study,FHWA Countywide,Auburn,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(XXX)e
M9999(xxx)f,19000,Multimodal Element for City's Transportation Plan (31MUK-01),FHWA Countywide,Mukilteo,1992,STP(U),Snohomish Countywide Forum,"Studies, TDM, Other",M9999(XXX)f
M9999(XXX)h,20000,"Parking Policy Review (Of City Policies, as Required by State Commute Trip Reduction Law)",FHWA Countywide,Auburn,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(XXX)h
M9999(xxx)k,20000,"Parking Policy Review (Of City Policies, as Required by State Commute Trip Reduction Law)",FHWA Countywide,Renton,1992,STP(U),King Countywide Forum,"Studies, TDM, Other",M9999(XXX)k
MAR-10,200000,State Avenue: 1st Street NE to Grove Street,FHWA Countywide,Marysville,1997,STP(U),Snohomish Countywide Forum,Safety & Efficiency,10-Mar
MAR-11,430000,Ash Avenue Park 'n Ride Expansion - T9805,FHWA Countywide,Marysville,1993,STP(U),Snohomish Countywide Forum,Transit Capital & Expansion,11-Mar
MAR-11,500000,Ash Avenue Park 'n Ride Expansion - T9805,FHWA Countywide,Marysville,1999,STP(U),Snohomish Countywide Forum,Transit Capital & Expansion,11-Mar
MAR-14,1000000,State Avenue:  136th to 152nd,FHWA Countywide,Marysville,2004,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,14-Mar
MAR-14,1014000,State Avenue:  136th to 152nd,FHWA Countywide,Marysville,2006,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,14-Mar
MAR-18,225000,53rd Avenue NE / SR 528 Intersection,FHWA Countywide,Marysville,2012,STP(U),Snohomish Countywide Forum,Safety & Efficiency,18-Mar
MAR-19,451000,State Avenue Overlay,FHWA Countywide,Marysville,2012,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",19-Mar
MAR-23,497153,67th Avenue Overlay ,FHWA Countywide,Marysville,2014,STP(US),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",23-Mar
MAR-3,163000,State Avenue: 109th Street NE to 136th Street NE,FHWA Countywide,Marysville,1993,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",3-Mar
MAR-9,134000,SR-528:  67th Ave to SR-9,FHWA Countywide,Marysville,1995,STP(U),Snohomish Countywide Forum,Safety & Efficiency,9-Mar
MC-1,23000,Overlays 10090,FHWA Countywide,Mill Creek,1995,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",MC-1
MC-2,40000,Overlays 10045/10070,FHWA Countywide,Mill Creek,1995,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",MC-2
MC-3,123000,Arterial Resurfacing Projects,FHWA Countywide,Mill Creek,1997,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",MC-3
MC-4,290000,North Creek Trail,FHWA Countywide,Mill Creek,1999,STP(U),Snohomish Countywide Forum,Bicycle/Pedestrian,MC-4
MC-5,125000,Dumas Road Widening,FHWA Countywide,Mill Creek,1999,STP(U),Snohomish Countywide Forum,Safety & Efficiency,MC-5
MC-5,641072,Dumas Road Widening,FHWA Countywide,Mill Creek,2002,STP(U),Snohomish Countywide Forum,Safety & Efficiency,MC-5
MC-6,120000,Mill Creek Arterial Preservation,FHWA Countywide,Mill Creek,1999,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",MC-6
MC-7,114000,164th Street SE Overlay,FHWA Countywide,Mill Creek,2012,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",MC-7
MED-1,48605,Citywide Preservation,FHWA Countywide,Medina,1999,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MED-1
MED-1,48605,Citywide Preservation,FHWA Countywide,Medina,2005,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MED-1
MET-104,12843000,Preventative Maintenance,FTA Earned Share,King County Department of Transportation (Transit),2009,5309(FG),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-104
MET-104,15000000,Preventative Maintenance,FTA Earned Share,King County Department of Transportation (Transit),2006,5309(FG),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-104
MET-104,87157000,Preventative Maintenance,FTA Earned Share,King County Department of Transportation (Transit),2009,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-104
MET-104,135400000,Preventative Maintenance,FTA Earned Share,King County Department of Transportation (Transit),2006,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-104
MET-105,2850000,Regional HOV Incentives and Services Project,FHWA RPEC,King County Department of Transportation (Transit),1997,CMAQ,RPEC,"Studies, TDM, Other",MET-105
MET-106,119200,Alternative Transportation Pass Demonstration for Bothell Business Parks,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-106
MET-107,412000,Business Cluster Transportation Solutions,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-107
MET-108,525860,Ryerson Base Bus Parking Expansion,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-108
MET-109,200000,Joint Use Park-&-Ride Demonstration,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-109
MET-110,300000,Rural Towns Park-&-Ride Project (Duvall/ North Bend),FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-110
MET-111,150000,Lake Forest Park Community Bus Demonstration,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-111
MET-112,125000,Bellevue ADA Bus Zone Accessibility Improvements,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-112
MET-113,300000,South King County Transit Improvements,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-113
MET-114,80440,Shoreline ADA Bus Zone Accessibility Improvements,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-114
MET-115,550000,Multi Modal Corridor Improvements (Denny Way Corridor & 23 Avenue Corridor),FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,Bicycle/Pedestrian,MET-115
MET-116,150000,ADA Improvement: North 46th Street & Aurora Ave North Transit Access,FHWA Countywide,King County Department of Transportation (Transit),1997,CMAQ,King Countywide Forum,Bicycle/Pedestrian,MET-116
MET-117A,498963,Issaquah Highlands Park and Ride,FHWA Countywide,King County Department of Transportation (Transit),2004,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-117A
MET-120,1360000,Marion Street Pedestrian Corridor,FHWA RPEC,WSDOT Marine Division,1999,STP(U),RPEC,Bicycle/Pedestrian,MET-120
MET-121,150000,Regional TDM Implementation Project,FHWA RPEC,King County Department of Transportation (Transit),1999,STP(U),RPEC,"Studies, TDM, Other",MET-121
MET-121,3285000,Regional TDM Implementation Project,FHWA RPEC,King County Department of Transportation (Transit),1999,CMAQ,RPEC,"Studies, TDM, Other",MET-121
MET-122,2898955,On-Board Systems Integration,FHWA Countywide,King County Department of Transportation (Transit),1999,STP(U),King Countywide Forum,Safety & Efficiency,MET-122
MET-122,4000000,On-Board Systems Integration,FTA Earned Share,King County Department of Transportation (Transit),2006,5307(Urban),STE Noncompetitive,Safety & Efficiency,MET-122
MET-123,4000000,Centers Development Incentives,FHWA RPEC,King County Department of Transportation (Transit),1999,CMAQ,RPEC,"Studies, TDM, Other",MET-123
MET-125,12000000,Bus Replacement and Expansion,FTA Earned Share,King County Department of Transportation (Transit),2006,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-125
MET-125,21940000,Bus Replacement and Expansion,FTA Earned Share,King County Department of Transportation (Transit),2009,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-125
MET-125A,2500000,Bus Replacement,FHWA Countywide,King County Department of Transportation (Transit),2006,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-125A
MET-125A,5950000,Bus Replacement,FTA Competitive,King County Department of Transportation (Transit),2006,5307(Urban),STE Competitive,"Preservation, Maintenance & Operations",MET-125A
MET-126,300000,Transit/Land use/Air Quality/ Connection Study,FHWA Countywide,King County Department of Transportation (Transit),1999,STP(U),King Countywide Forum,"Studies, TDM, Other",MET-126
MET-127,455462,Transit Safety/Security Enhancements,FHWA Countywide,King County Department of Transportation (Road Services),1999,STP(U),King Countywide Forum,"Studies, TDM, Other",MET-127
MET-127,744538,Transit Safety/Security Enhancements,FHWA Countywide,King County Department of Transportation (Road Services),1999,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-127
MET-131,439794,Central Puget Sound Commute Trip Reduction Enhancement Project,FHWA RPEC,King County Department of Transportation (Transit),2000,CMAQ,RPEC,"Studies, TDM, Other",MET-131
MET-136,134278,King County Urban Centers Transit Development Project,FHWA Countywide,King County Department of Transportation (Transit),2003,STP(U),King Countywide Forum,"Studies, TDM, Other",MET-136
MET-136,185427,King County Urban Centers Transit Development Project,FHWA Countywide,King County Department of Transportation (Transit),2003,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-136
MET-136,3231975,King County Urban Centers Transit Development Project,FHWA RPEC,King County Department of Transportation (Transit),2002,CMAQ,RPEC,"Studies, TDM, Other",MET-136
MET-139,10000000,King County Metro Transit Radio and Automatic Vehicle Location System,FTA Earned Share,King County Department of Transportation (Transit),2006,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-139
MET-140,195000,Enhancing Bicycle / Bus Linkages in King County,FHWA Countywide,King County Department of Transportation (Transit),2004,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-140
MET-140,300000,Enhancing Bicycle / Bus Linkages in King County,FHWA Countywide,King County Department of Transportation (Transit),2006,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MET-140
MET-141A,66356,Smart Growth Initiative - Developer Incentives,FHWA RPEC,King County Department of Transportation (Transit),2005,CMAQ,RPEC,"Studies, TDM, Other",MET-141A
MET-141A,1387269,Smart Growth Initiative - Developer Incentives,FHWA RPEC,King County Department of Transportation (Transit),2004,CMAQ,RPEC,"Studies, TDM, Other",MET-141A
MET-141B,14350,Smart Growth Initiative - Redmond,FHWA RPEC,King County Department of Transportation (Transit),2005,CMAQ,RPEC,Transit Capital & Expansion,MET-141B
MET-141B,300000,Smart Growth Initiative - Redmond,FHWA RPEC,King County Department of Transportation (Transit),2004,CMAQ,RPEC,Transit Capital & Expansion,MET-141B
MET-141C,62611,Smart Growth Initiative - Northgate,FHWA RPEC,King County Department of Transportation (Transit),2005,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,MET-141C
MET-141C,1308961,Smart Growth Initiative - Northgate,FHWA RPEC,King County Department of Transportation (Transit),2004,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,MET-141C
MET-147,1115230,Electric Trolley Bus Extensions/Connection to Link Light Rail Stations,FTA Earned Share,King County Department of Transportation (Transit),2007,5309(FG),STE Noncompetitive,Transit Capital & Expansion,MET-147
MET-152,7000000,King County Metro Passenger Amenities,FTA Earned Share,King County Department of Transportation (Transit),2006,5307(Urban),STE Noncompetitive,Transit Capital & Expansion,MET-152
MET-153,3750000,King County Metro Bus Rapid Transit (BRT) Implementation,FTA Competitive,King County Department of Transportation (Transit),2006,5307(Urban),STE Competitive,Transit Capital & Expansion,MET-153
MET-153,5000000,King County Metro Bus Rapid Transit (BRT) Implementation,FHWA RPEC,King County Department of Transportation (Transit),2007,CMAQ,RPEC,Transit Capital & Expansion,MET-153
MET-153,6000000,King County Metro Bus Rapid Transit (BRT) Implementation,FTA Competitive,King County Department of Transportation (Transit),2009,5307(Urban),STE Competitive,Transit Capital & Expansion,MET-153
MET-153,8373767,King County Metro Bus Rapid Transit (BRT) Implementation,FHWA RPEC,King County Department of Transportation (Transit),2008,CMAQ,RPEC,Transit Capital & Expansion,MET-153
MET-154,3000000,Metro Transit Communication Equipment - Bus Router,FTA Earned Share,King County Department of Transportation (Transit),2006,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-154
MET-155,875000,Centers Ridership Development Project,FHWA Countywide,King County Department of Transportation (Transit),2006,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-155
MET-156,400000,Burien Transit Oriented Development (TOD) Facility,FHWA Countywide,King County Department of Transportation (Transit),2006,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-156
MET-156,5582000,Burien Transit Oriented Development (TOD) Facility,FTA Competitive,King County Department of Transportation (Transit),2009,5307(Urban),STE Competitive,Transit Capital & Expansion,MET-156
MET-16,5420000,Procurement of 360 Buses (partial purchase),FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-16
MET-166,300000,Transit Dwell Time Reduction Program,FHWA Countywide,King County Department of Transportation (Transit),2009,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-166
MET-167,416500,Bicycle Locker Expansion and Operational Improvements at Park and Ride Lots,FHWA Countywide,King County Department of Transportation (Transit),2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,MET-167
MET-167A,320341,Bike Locker Expansion / Operational Improvements @ Sounder and Light Rail Stations ,FHWA Countywide,Sound Transit,2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,MET-167A
MET-168,2910527,Trolley Simplification in the City Center: S Washington St and 5th Avenue S,FHWA Countywide,King County Department of Transportation (Transit),2009,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-168
MET-169,1000000,Urban Centers Access,FHWA RPEC,King County Department of Transportation (Transit),2009,CMAQ,RPEC,"Studies, TDM, Other",MET-169
MET-169,4700000,Urban Centers Access,FHWA RPEC,King County Department of Transportation (Transit),2010,CMAQ,RPEC,"Studies, TDM, Other",MET-169
MET-17,1886000,Automated Trip Planning,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-17
MET-18,307000,Highway 99 N./Evergreen Wy Transit Priority Project,FHWA Countywide,King County Department of Transportation (Transit),1994,STP(U),King Countywide Forum,Safety & Efficiency,MET-18
MET-18,2153000,Highway 99 N./Evergreen Wy Transit Priority Project,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,Safety & Efficiency,MET-18
MET-184,3480000,Third Ave Transit Corridor Improvement and RapidRide Facilities Project ,FTA Competitive,King County Department of Transportation (Transit),2012,5307(Urban),STE Competitive,Transit Capital & Expansion,MET-184
MET-185,54390812,"Vehicle, Equipment and Facilities Maintenance",FTA Earned Share,King County Department of Transportation (Transit),2012,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-185
MET-185,101267278,"Vehicle, Equipment and Facilities Maintenance",FTA Earned Share,King County Department of Transportation (Transit),2014,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-185
MET-186,912764,Replace the Legacy TSP Equipment,FTA Earned Share,King County Department of Transportation (Transit),2012,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-186
MET-187,1170400,Route 101 Transit Priority Corridor Improvements     ,FHWA Countywide,King County Department of Transportation (Transit),2012,CMAQ,King Countywide Forum,Safety & Efficiency,MET-187
MET-188,1180295,Trolley Bus Replacement,FHWA Countywide,King County Department of Transportation (Transit),2012,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-188
MET-188,3000000,Trolley Bus Replacement,FHWA Countywide,King County Department of Transportation (Transit),2014,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-188
MET-188,27253979,Trolley Bus Replacement,FTA Earned Share,King County Department of Transportation (Transit),2012,5309(FG),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-188
MET-188,38658083,Trolley Bus Replacement,FTA Earned Share,King County Department of Transportation (Transit),2012,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-188
MET-188,62102873,Trolley Bus Replacement,FTA Earned Share,King County Department of Transportation (Transit),2014,5337 HIFG,STE Noncompetitive,"Preservation, Maintenance & Operations",MET-188
MET-189,600000,Bicycle Access Enhancements to King County Metro RapidRide Bus Rapid Transit,FHWA Countywide,King County Department of Transportation (Transit),2012,CMAQ,King Countywide Forum,Bicycle/Pedestrian,MET-189
MET-190,1500000,Cashless Payment/Ticketing Technologies,FHWA Countywide,King County Department of Transportation (Transit),2012,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-190
MET-191,5219886,Replacement of Bus Lifts,FTA Earned Share,King County Department of Transportation (Transit),2012,5307(Urban),STE Noncompetitive,Transit Capital & Expansion,MET-191
MET-192,2839594,Refurbishment of Elevators in the Downtown Seattle Transit Tunnel,FTA Earned Share,King County Department of Transportation (Transit),2012,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-192
MET-193,6885600,Bus Replacement - 40ft Buses,FTA Earned Share,King County Department of Transportation (Transit),2012,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-193
MET-194,874423,Northgate Transit Center and Nonmotorized Connections,FHWA RPEC,King County Department of Transportation (Transit),2012,CMAQ,RPEC,Transit Capital & Expansion,MET-194
MET-20,500000,Reg. Ridematch Signage Proj. & Education Campaign,FHWA Countywide,King County Department of Transportation (Transit),1994,STP(U),King Countywide Forum,"Studies, TDM, Other",MET-20
MET-20,600000,Reg. Ridematch Signage Proj. & Education Campaign,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-20
MET-201,1826000,Community Trip Reduction Initiative ,FHWA Countywide,King County Department of Transportation (Transit),2014,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-201
MET-202,9965462,Bus Replacements ,FTA Earned Share,King County Department of Transportation (Transit),2014,5339,STE Noncompetitive,"Preservation, Maintenance & Operations",MET-202
MET-202,15936887,Bus Replacements ,FTA Earned Share,King County Department of Transportation (Transit),2014,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",MET-202
MET-202,18810340,Bus Replacements ,FTA Earned Share,King County Department of Transportation (Transit),2014,5337 HIMB,STE Noncompetitive,"Preservation, Maintenance & Operations",MET-202
MET-203,624000,Transit Speed and Reliability Corridor Improvements ,FHWA Countywide,King County Department of Transportation (Transit),2014,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-203
MET-203,2568000,Transit Speed and Reliability Corridor Improvements ,FTA Competitive,King County Department of Transportation (Transit),2014,5307(Urban),Seattle-Tacoma-Everett UZA,Transit Capital & Expansion,MET-203
MET-21,726000,Regional Fare Coordination Project,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-21
MET-22,399000,Innovative CTR Employers Incentive Programs,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-22
MET-23,360000,Training and Promo Materials for CTR Employers,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-23
MET-25,226000,Debit Card Parking Control for HOV Use,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-25
MET-26,268000,Overlake FlexPass Demonstration Project,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-26
MET-27,225000,Community College FlexPass,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-27
MET-29,200000,Vanpool/Carpool Operator Association,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-29
MET-30,190000,Centralized Van/Carpool Registration/Incentive,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-30
MET-36,64000,Regional Ridematch Hotline,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-36
MET-39,100000,Cable TV Information and Promotional Programming,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-39
MET-56,160000,Bike Lockers at Major Transit Stops,FHWA Countywide,King County Department of Transportation (Transit),1993,CMAQ,King Countywide Forum,Bicycle/Pedestrian,MET-56
MET-77,200000,Multimodal Services and CTR Partnership Project,FHWA Countywide,King County Department of Transportation (Transit),1995,CMAQ,King Countywide Forum,"Studies, TDM, Other",MET-77
MET-77,1800000,Multimodal Services and CTR Partnership Project,FHWA RPEC,King County Department of Transportation (Transit),1995,CMAQ,RPEC,"Studies, TDM, Other",MET-77
MET-78,3500000,EZRider Phase II - Regional Multimodal Customer Information,FHWA RPEC,King County Department of Transportation (Transit),1995,CMAQ,RPEC,"Studies, TDM, Other",MET-78
MET-81,362000,Small Bus Shuttles,FHWA Countywide,King County Department of Transportation (Transit),1995,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",MET-81
MET-81,5466350,Small Bus Shuttles,FHWA RPEC,King County Department of Transportation (Transit),1995,CMAQ,RPEC,"Preservation, Maintenance & Operations",MET-81
MET-82,350000,East Bellevue Circulator Demonstration,FHWA Countywide,King County Department of Transportation (Transit),1995,CMAQ,King Countywide Forum,Transit Capital & Expansion,MET-82
MET-83,660000,Waterfront Streetcar Rehabilitation,FHWA Countywide,King County Department of Transportation (Transit),1995,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MET-83
MET-84,500000,South King County Transfer Point Improvements,FHWA Countywide,King County Department of Transportation (Transit),1995,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MET-84
MET-85,500000,East County Transfer Point Improvements,FHWA Countywide,King County Department of Transportation (Transit),1995,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MET-85
MET-86,195000,Duvall Park-and-Ride,FHWA Countywide,King County Department of Transportation (Transit),1995,STP(R),King Countywide Forum,Transit Capital & Expansion,MET-86
MET-88,2000000,Regional Fare Coordination Project,FHWA RPEC,King County Department of Transportation (Road Services),1999,CMAQ,RPEC,"Studies, TDM, Other",MET-88
MI-3,2369000,Central Business District Transportation Improvement (also funded at MI-3A),FHWA Countywide,Mercer Island,1993,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MI-3
MI-5,75000,Pedestrian Safety Improvements on Island Crest Way,FHWA Countywide,Mercer Island,1997,CMAQ,King Countywide Forum,Safety & Efficiency,MI-5
MI-7,50358,"SE 24th Street Connecting Metro Park & Ride, Luther Burbank Regional Park & Mercer Island",FHWA Countywide,Mercer Island,1999,STP(U),King Countywide Forum,Safety & Efficiency,MI-7
MI-8,217310,Arterial Pavement Maintenance Program,FHWA Countywide,Mercer Island,1999,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MI-8
MI-9,262889,Island Crest Way Reconstruction Project from I-90 to SE 40th Street,FHWA Countywide,Mercer Island,2004,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MI-9
MIL-10,376275,23rd Avenue Road Improvements,FHWA Countywide,Milton,1995,STP(U),Pierce Countywide Forum,Safety & Efficiency,MIL-10
MIL-11,8199,Milton Interurban Trail Phase II,FHWA Countywide,Milton,1999,STP(U),King Countywide Forum,Bicycle/Pedestrian,MIL-11
MIL-11,8199,Milton Interurban Trail Phase II,FHWA Countywide,Milton,2005,STP(U),King Countywide Forum,Bicycle/Pedestrian,MIL-11
MIL-11,376000,Milton Interurban Trail Phase II,FHWA Countywide,Milton,2004,CMAQ,Pierce Countywide Forum,Bicycle/Pedestrian,MIL-11
MIL-12,388600,Milton Way Overlay (20th Street to Porter Way),FHWA Countywide,Milton,2006,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",MIL-12
MIL-13,622174,"Milton Way Pedestrian Improvements, 17th to 22nd Avenues ",FHWA Countywide,Milton,2014,CMAQ,Pierce Countywide Forum,Bicycle/Pedestrian,MIL-13
MIL-8,101000,Yuma Street Rehabilitation,FHWA Countywide,Milton,1993,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MIL-8
MIL-8,161000,Yuma Street Rehabilitation,FHWA Countywide,Milton,1993,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",MIL-8
MIL-9,15000,5th Avenue Overlay Project,FHWA Countywide,Milton,1993,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",MIL-9
MON-1,300000,SR 2 Pedestrian/Bike Facilities (SR 203 to Cascade View Dr.),FHWA Countywide,Monroe,1997,STP(R),Snohomish Countywide Forum,Bicycle/Pedestrian,MON-1
MON-3,510640,US-2: Main Street/Old Owen Road Intersection,FHWA Countywide,Monroe,2011,STP(U),Snohomish Countywide Forum,Safety & Efficiency,MON-3
MON-7,1718000,Woods Creek Road Phase 1 ,FHWA Countywide,Monroe,2014,CMAQ,Snohomish Countywide Forum,Bicycle/Pedestrian,MON-7
MOU-10,75000,Reconstruction of 66th Avenue West from 220th St SW to City Limits,FHWA Countywide,Mountlake Terrace,1999,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",MOU-10
MOU-11,45000,Reconstruction of 56th Avenue West from 236th St SW to 228th St SW,FHWA Countywide,Mountlake Terrace,1999,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",MOU-11
MOU-14,5241,Modify Citywide Traffic and Pedestrian Signals,FHWA Countywide,Mountlake Terrace,2002,STP(N),Snohomish Countywide Forum,Safety & Efficiency,MOU-14
